id,state,year,incomePerCapita,taxPaidToOwnState,taxPaidToOtherState,burdenRate
1,Alabama,1977,5847.40,356.20,184.40,0.0925
1,Alabama,1978,6440.45,385.55,200.08,0.0909
1,Alabama,1979,7168.18,425.67,210.09,0.0887
1,Alabama,1980,7753.21,453.61,224.68,0.0875
1,Alabama,1981,8570.93,507.39,248.74,0.0882
1,Alabama,1982,9131.25,536.94,270.35,0.0884
1,Alabama,1983,9489.98,564.29,280.79,0.0891
1,Alabama,1984,10400.91,618.48,309.33,0.0892
1,Alabama,1985,11327.49,694.27,336.36,0.0910
1,Alabama,1986,12084.51,742.54,354.80,0.0908
1,Alabama,1987,12700.61,798.90,373.47,0.0923
1,Alabama,1988,13545.85,842.84,399.38,0.0917
1,Alabama,1989,14665.04,910.97,426.72,0.0912
1,Alabama,1990,15447.47,969.21,446.51,0.0916
1,Alabama,1991,16120.72,1004.82,465.17,0.0912
1,Alabama,1992,16897.04,1053.71,494.30,0.0916
1,Alabama,1993,17686.39,1142.57,518.79,0.0939
1,Alabama,1994,18323.61,1171.94,533.09,0.0931
1,Alabama,1995,19467.42,1247.09,558.67,0.0928
1,Alabama,1996,20342.23,1303.32,561.79,0.0917
1,Alabama,1997,21375.28,1352.11,581.14,0.0904
1,Alabama,1998,22784.91,1401.82,604.61,0.0881
1,Alabama,1999,24210.74,1471.65,633.33,0.0869
1,Alabama,2000,25250.56,1547.06,652.21,0.0871
1,Alabama,2001,25849.83,1643.32,670.52,0.0895
1,Alabama,2002,25838.29,1615.77,680.01,0.0889
1,Alabama,2003,26478.60,1604.17,722.13,0.0879
1,Alabama,2004,28215.76,1678.73,775.90,0.0870
1,Alabama,2005,30627.99,1782.15,917.61,0.0881
1,Alabama,2006,32461.22,1902.93,996.90,0.0893
1,Alabama,2007,33703.06,2041.09,1000.99,0.0903
1,Alabama,2008,34078.70,2100.79,1031.39,0.0919
1,Alabama,2009,32549.66,2018.47,947.82,0.0911
1,Alabama,2010,32338.57,1999.28,911.30,0.0900
1,Alabama,2011,33963.05,2071.10,938.07,0.0886
1,Alabama,2012,35336.66,2141.95,925.09,0.0868
2,Alaska,1977,12935.34,1111.11,393.23,0.1163
2,Alaska,1978,12372.05,855.18,387.52,0.1004
2,Alaska,1979,12968.03,812.14,387.05,0.0925
2,Alaska,1980,14101.60,771.94,407.17,0.0836
2,Alaska,1981,15915.91,559.45,445.36,0.0631
2,Alaska,1982,17758.14,576.66,499.10,0.0606
2,Alaska,1983,18976.16,571.96,533.24,0.0582
2,Alaska,1984,19099.01,607.51,556.21,0.0609
2,Alaska,1985,19586.77,663.10,567.62,0.0628
2,Alaska,1986,20036.22,607.49,566.46,0.0586
2,Alaska,1987,19579.90,647.87,549.42,0.0611
2,Alaska,1988,19581.55,666.05,545.10,0.0619
2,Alaska,1989,21024.66,696.57,571.24,0.0603
2,Alaska,1990,22633.91,725.43,611.82,0.0591
2,Alaska,1991,23278.90,757.63,631.08,0.0597
2,Alaska,1992,23522.40,739.82,647.11,0.0590
2,Alaska,1993,24184.57,736.26,670.55,0.0582
2,Alaska,1994,24971.25,739.19,689.04,0.0572
2,Alaska,1995,25831.80,782.43,697.50,0.0573
2,Alaska,1996,26505.39,787.68,685.76,0.0556
2,Alaska,1997,27769.57,776.99,703.70,0.0533
2,Alaska,1998,29402.86,826.16,715.41,0.0524
2,Alaska,1999,30457.54,845.48,704.12,0.0509
2,Alaska,2000,31969.75,869.84,722.96,0.0498
2,Alaska,2001,33061.94,860.03,754.86,0.0488
2,Alaska,2002,33208.33,899.65,760.06,0.0500
2,Alaska,2003,34044.27,904.03,823.25,0.0507
2,Alaska,2004,35491.76,1053.33,856.77,0.0538
2,Alaska,2005,37546.48,1165.21,1007.93,0.0579
2,Alaska,2006,39978.40,1170.76,1126.31,0.0575
2,Alaska,2007,42586.81,1522.70,1140.20,0.0625
2,Alaska,2008,44800.57,1714.12,1192.73,0.0649
2,Alaska,2009,44961.23,1971.81,1161.38,0.0697
2,Alaska,2010,44824.04,1999.21,1163.97,0.0706
2,Alaska,2011,47161.12,1995.84,1233.99,0.0685
2,Alaska,2012,49779.58,1986.21,1242.48,0.0649
4,Arizona,1977,6849.04,489.05,243.24,0.1069
4,Arizona,1978,7593.17,529.30,265.45,0.1047
4,Arizona,1979,8676.46,588.51,284.73,0.1006
4,Arizona,1980,9616.05,619.98,307.92,0.0965
4,Arizona,1981,10611.40,620.31,337.40,0.0903
4,Arizona,1982,11298.81,648.75,362.33,0.0895
4,Arizona,1983,11510.06,690.83,366.60,0.0919
4,Arizona,1984,12788.90,815.98,408.94,0.0958
4,Arizona,1985,13947.15,927.01,442.77,0.0982
4,Arizona,1986,14940.45,1003.78,466.94,0.0984
4,Arizona,1987,15738.82,1070.34,492.46,0.0993
4,Arizona,1988,16403.01,1125.28,507.84,0.0996
4,Arizona,1989,17213.06,1200.86,520.45,0.1000
4,Arizona,1990,17561.74,1280.66,527.95,0.1030
4,Arizona,1991,17949.29,1336.64,535.45,0.1043
4,Arizona,1992,18263.65,1330.48,549.18,0.1029
4,Arizona,1993,18890.64,1386.11,565.81,0.1033
4,Arizona,1994,19731.76,1431.33,587.72,0.1023
4,Arizona,1995,20912.60,1500.43,604.60,0.1007
4,Arizona,1996,22153.86,1526.41,610.70,0.0965
4,Arizona,1997,23514.29,1510.53,640.87,0.0915
4,Arizona,1998,25292.39,1566.79,669.68,0.0884
4,Arizona,1999,27056.01,1687.31,685.86,0.0877
4,Arizona,2000,28545.69,1789.48,707.54,0.0875
4,Arizona,2001,29167.84,1818.92,722.26,0.0871
4,Arizona,2002,28612.56,1861.41,734.02,0.0907
4,Arizona,2003,29036.03,1902.45,793.53,0.0928
4,Arizona,2004,31036.69,1961.94,839.53,0.0903
4,Arizona,2005,34357.79,2085.46,1036.77,0.0909
4,Arizona,2006,37484.91,2170.89,1174.50,0.0892
4,Arizona,2007,39118.49,2560.78,1163.72,0.0952
4,Arizona,2008,38071.05,2402.29,1148.83,0.0933
4,Arizona,2009,34866.80,2158.20,991.55,0.0903
4,Arizona,2010,33816.11,2116.50,925.66,0.0900
4,Arizona,2011,35295.59,2181.75,976.20,0.0895
4,Arizona,2012,37011.65,2283.47,992.05,0.0885
5,Arkansas,1977,5626.06,302.04,181.12,0.0859
5,Arkansas,1978,6292.03,339.87,199.59,0.0857
5,Arkansas,1979,7029.80,361.56,209.43,0.0812
5,Arkansas,1980,7418.37,424.31,219.58,0.0868
5,Arkansas,1981,8258.04,430.93,245.33,0.0819
5,Arkansas,1982,8807.24,458.62,266.87,0.0824
5,Arkansas,1983,9117.32,498.80,279.44,0.0854
5,Arkansas,1984,9965.68,568.13,305.11,0.0876
5,Arkansas,1985,10864.01,639.44,331.63,0.0894
5,Arkansas,1986,11479.87,685.75,347.18,0.0900
5,Arkansas,1987,12003.71,713.95,359.63,0.0894
5,Arkansas,1988,12657.46,763.10,375.41,0.0899
5,Arkansas,1989,13537.46,836.35,393.58,0.0909
5,Arkansas,1990,14157.41,866.00,406.65,0.0899
5,Arkansas,1991,14709.32,914.27,423.94,0.0910
5,Arkansas,1992,15660.11,1052.23,449.49,0.0959
5,Arkansas,1993,16484.61,1092.39,475.77,0.0951
5,Arkansas,1994,17212.04,1160.21,491.16,0.0959
5,Arkansas,1995,18118.00,1230.08,507.58,0.0959
5,Arkansas,1996,19035.10,1334.72,508.91,0.0969
5,Arkansas,1997,19935.51,1374.40,527.07,0.0954
5,Arkansas,1998,21179.06,1440.24,546.22,0.0938
5,Arkansas,1999,22342.08,1504.20,554.65,0.0922
5,Arkansas,2000,23174.53,1571.49,565.57,0.0922
5,Arkansas,2001,23868.16,1631.59,588.03,0.0930
5,Arkansas,2002,23908.23,1711.88,596.20,0.0965
5,Arkansas,2003,24631.68,1703.77,643.29,0.0953
5,Arkansas,2004,26436.93,1847.93,671.63,0.0953
5,Arkansas,2005,28314.37,2045.00,782.78,0.0999
5,Arkansas,2006,29806.51,2212.28,865.58,0.1033
5,Arkansas,2007,31099.95,2345.28,884.35,0.1038
5,Arkansas,2008,32235.77,2377.48,947.67,0.1032
5,Arkansas,2009,31057.57,2358.70,905.03,0.1051
5,Arkansas,2010,30595.64,2367.90,879.56,0.1061
5,Arkansas,2011,32475.73,2456.48,934.43,0.1044
5,Arkansas,2012,34862.10,2552.18,966.83,0.1009
6,California,1977,8791.98,822.99,247.79,0.1218
6,California,1978,9695.13,933.43,267.38,0.1239
6,California,1979,10647.15,818.01,291.39,0.1042
6,California,1980,11770.02,951.93,316.08,0.1077
6,California,1981,13072.14,992.28,347.10,0.1025
6,California,1982,13853.86,1065.91,373.04,0.1039
6,California,1983,14271.67,1086.03,382.09,0.1029
6,California,1984,15548.13,1215.19,419.43,0.1051
6,California,1985,16829.43,1340.90,450.91,0.1065
6,California,1986,17866.33,1404.13,470.26,0.1049
6,California,1987,18937.84,1549.17,494.43,0.1079
6,California,1988,19972.80,1573.10,515.96,0.1046
6,California,1989,21162.76,1705.80,539.73,0.1061
6,California,1990,21905.66,1825.65,548.93,0.1084
6,California,1991,22426.39,1872.01,558.91,0.1084
6,California,1992,22796.08,1954.39,569.06,0.1107
6,California,1993,23304.20,1976.73,580.98,0.1098
6,California,1994,23701.12,1979.48,586.91,0.1083
6,California,1995,24741.34,2101.34,596.92,0.1091
6,California,1996,26208.77,2229.56,606.16,0.1082
6,California,1997,27978.24,2325.33,638.76,0.1059
6,California,1998,30239.07,2522.24,672.52,0.1057
6,California,1999,32713.18,2656.24,712.07,0.1030
6,California,2000,35984.29,3007.15,773.85,0.1051
6,California,2001,37018.66,3206.51,791.73,0.1080
6,California,2002,35125.52,2910.79,749.92,0.1042
6,California,2003,35711.74,2929.60,788.97,0.1041
6,California,2004,38214.37,3158.55,847.96,0.1048
6,California,2005,41214.78,3306.39,1024.67,0.1051
6,California,2006,44275.56,3635.82,1155.86,0.1082
6,California,2007,46572.42,4078.33,1171.86,0.1127
6,California,2008,46254.27,4184.40,1167.68,0.1157
6,California,2009,42973.67,3865.95,1040.35,0.1142
6,California,2010,42275.63,3971.41,992.80,0.1174
6,California,2011,44964.08,4126.71,1054.90,0.1152
6,California,2012,47807.79,4126.38,1110.81,0.1095
8,Colorado,1977,7708.65,558.08,258.45,0.1059
8,Colorado,1978,8583.45,599.16,281.56,0.1026
8,Colorado,1979,9641.86,668.41,297.28,0.1002
8,Colorado,1980,10696.28,688.71,322.95,0.0946
8,Colorado,1981,12004.51,680.83,359.68,0.0867
8,Colorado,1982,13152.57,788.22,396.59,0.0901
8,Colorado,1983,13554.28,840.61,409.35,0.0922
8,Colorado,1984,14622.80,967.63,444.80,0.0966
8,Colorado,1985,15649.35,1058.26,473.95,0.0979
8,Colorado,1986,16296.94,1076.30,488.81,0.0960
8,Colorado,1987,16852.19,1174.53,505.06,0.0997
8,Colorado,1988,17626.05,1227.85,526.67,0.0995
8,Colorado,1989,18956.93,1316.87,558.17,0.0989
8,Colorado,1990,19894.66,1412.69,582.65,0.1003
8,Colorado,1991,20668.21,1461.85,604.71,0.1000
8,Colorado,1992,21540.91,1528.78,638.70,0.1006
8,Colorado,1993,22631.77,1570.14,671.70,0.0991
8,Colorado,1994,23820.29,1665.63,699.16,0.0993
8,Colorado,1995,25213.97,1724.30,726.98,0.0972
8,Colorado,1996,26810.92,1781.74,737.82,0.0940
8,Colorado,1997,28701.32,1903.81,774.81,0.0933
8,Colorado,1998,31158.98,2012.00,818.22,0.0908
8,Colorado,1999,34082.84,2171.80,858.35,0.0889
8,Colorado,2000,36933.34,2309.83,919.14,0.0874
8,Colorado,2001,38563.82,2418.03,962.31,0.0877
8,Colorado,2002,36806.36,2339.09,939.76,0.0891
8,Colorado,2003,36617.81,2301.04,979.87,0.0896
8,Colorado,2004,38306.94,2396.03,1017.89,0.0891
8,Colorado,2005,41177.00,2475.34,1225.81,0.0899
8,Colorado,2006,44403.23,2639.97,1379.87,0.0905
8,Colorado,2007,46644.10,2830.34,1399.43,0.0907
8,Colorado,2008,47046.10,2883.69,1425.75,0.0916
8,Colorado,2009,44173.34,2776.18,1279.46,0.0918
8,Colorado,2010,43054.69,2787.87,1207.05,0.0928
8,Colorado,2011,45471.43,2812.57,1285.70,0.0901
8,Colorado,2012,48313.50,2967.52,1336.18,0.0891
9,Connecticut,1977,9108.27,646.84,366.10,0.1112
9,Connecticut,1978,10027.32,690.44,391.19,0.1079
9,Connecticut,1979,11222.03,740.93,415.24,0.1030
9,Connecticut,1980,12522.19,777.46,459.39,0.0988
9,Connecticut,1981,14198.44,869.55,520.23,0.0979
9,Connecticut,1982,15343.80,944.31,564.73,0.0983
9,Connecticut,1983,16135.21,1020.76,591.68,0.0999
9,Connecticut,1984,17659.99,1178.78,653.68,0.1038
9,Connecticut,1985,19441.39,1291.65,718.70,0.1034
9,Connecticut,1986,20784.71,1352.15,761.62,0.1017
9,Connecticut,1987,22667.22,1550.47,828.65,0.1050
9,Connecticut,1988,24580.67,1621.25,891.30,0.1022
9,Connecticut,1989,26579.58,1755.01,949.08,0.1017
9,Connecticut,1990,27421.22,1944.79,976.39,0.1065
9,Connecticut,1991,27517.95,1982.03,971.59,0.1073
9,Connecticut,1992,28404.96,2388.22,1016.86,0.1199
9,Connecticut,1993,29977.87,2561.20,1074.36,0.1213
9,Connecticut,1994,31068.84,2657.98,1096.74,0.1209
9,Connecticut,1995,32426.23,2859.82,1117.88,0.1227
9,Connecticut,1996,34408.38,2976.81,1134.54,0.1195
9,Connecticut,1997,37220.09,3276.63,1218.96,0.1208
9,Connecticut,1998,40404.34,3447.57,1307.65,0.1177
9,Connecticut,1999,43122.07,3527.21,1364.43,0.1134
9,Connecticut,2000,46506.51,3694.82,1473.54,0.1111
9,Connecticut,2001,47965.87,3685.81,1566.03,0.1095
9,Connecticut,2002,45887.72,3581.57,1513.88,0.1110
9,Connecticut,2003,45603.05,3691.99,1539.51,0.1147
9,Connecticut,2004,48681.94,3994.24,1677.99,0.1165
9,Connecticut,2005,52913.15,4195.40,2004.94,0.1172
9,Connecticut,2006,56773.54,4368.72,2239.13,0.1164
9,Connecticut,2007,61055.66,4734.65,2371.17,0.1164
9,Connecticut,2008,61101.18,5000.85,2453.52,0.1220
9,Connecticut,2009,56174.53,4870.19,2147.92,0.1249
9,Connecticut,2010,56289.53,4968.13,2133.96,0.1262
9,Connecticut,2011,59511.24,4965.31,2286.76,0.1219
9,Connecticut,2012,62374.15,5515.62,2353.76,0.1262
10,Delaware,1977,8003.89,493.96,302.65,0.0995
10,Delaware,1978,8692.71,556.78,322.02,0.1011
10,Delaware,1979,9491.48,606.24,335.10,0.0992
10,Delaware,1980,10484.65,648.19,365.74,0.0967
10,Delaware,1981,11781.92,706.27,409.35,0.0947
10,Delaware,1982,12623.79,760.60,443.91,0.0954
10,Delaware,1983,13245.72,823.58,466.99,0.0974
10,Delaware,1984,14254.85,881.12,512.96,0.0978
10,Delaware,1985,15616.53,930.10,563.28,0.0956
10,Delaware,1986,16616.88,959.72,589.77,0.0932
10,Delaware,1987,17664.99,1031.50,623.42,0.0937
10,Delaware,1988,18770.15,1020.55,660.09,0.0895
10,Delaware,1989,20507.76,1118.50,709.28,0.0891
10,Delaware,1990,21463.08,1162.17,742.23,0.0887
10,Delaware,1991,22000.85,1183.12,759.58,0.0883
10,Delaware,1992,22779.20,1290.46,812.62,0.0923
10,Delaware,1993,23317.87,1317.29,836.24,0.0924
10,Delaware,1994,23984.04,1366.92,845.75,0.0923
10,Delaware,1995,24925.05,1478.80,862.52,0.0939
10,Delaware,1996,26201.68,1542.42,906.28,0.0935
10,Delaware,1997,27795.78,1634.57,976.44,0.0939
10,Delaware,1998,29544.56,1759.56,1011.24,0.0938
10,Delaware,1999,31743.20,1767.51,1056.29,0.0890
10,Delaware,2000,33639.84,1792.95,1072.74,0.0852
10,Delaware,2001,34520.78,1771.17,1069.68,0.0823
10,Delaware,2002,34957.17,1779.59,1082.00,0.0819
10,Delaware,2003,35553.94,1977.67,1136.74,0.0876
10,Delaware,2004,37779.25,2168.32,1221.17,0.0897
10,Delaware,2005,40298.61,2173.45,1575.40,0.0930
10,Delaware,2006,42431.16,2243.68,1849.79,0.0965
10,Delaware,2007,43359.62,2417.70,1881.64,0.0992
10,Delaware,2008,42716.02,2411.26,1928.95,0.1016
10,Delaware,2009,40505.55,2128.71,1692.85,0.0943
10,Delaware,2010,40095.96,2181.09,1625.48,0.0949
10,Delaware,2011,41848.60,2329.06,1746.66,0.0974
10,Delaware,2012,43437.33,2610.01,1802.16,0.1016
11,District of Columbia,1977,8593.20,676.50,381.45,0.1231
11,District of Columbia,1978,9377.32,783.49,410.93,0.1274
11,District of Columbia,1979,9946.14,829.85,424.21,0.1261
11,District of Columbia,1980,10472.26,922.16,443.86,0.1304
11,District of Columbia,1981,11638.92,1105.72,476.88,0.1360
11,District of Columbia,1982,12265.14,1186.18,496.24,0.1372
11,District of Columbia,1983,12958.02,1126.64,516.31,0.1268
11,District of Columbia,1984,14228.39,1250.27,558.70,0.1271
11,District of Columbia,1985,15611.84,1327.63,611.97,0.1242
11,District of Columbia,1986,16823.99,1410.20,643.44,0.1221
11,District of Columbia,1987,17907.19,1516.01,685.15,0.1229
11,District of Columbia,1988,19456.67,1706.80,730.87,0.1253
11,District of Columbia,1989,21477.61,1828.79,805.14,0.1226
11,District of Columbia,1990,22379.77,1946.41,837.06,0.1244
11,District of Columbia,1991,23640.01,2039.04,864.87,0.1228
11,District of Columbia,1992,24524.95,2083.60,922.58,0.1226
11,District of Columbia,1993,25845.96,2132.58,981.09,0.1205
11,District of Columbia,1994,27048.92,2233.77,1015.03,0.1201
11,District of Columbia,1995,28053.46,2254.01,1030.92,0.1171
11,District of Columbia,1996,29075.55,2443.04,1004.00,0.1186
11,District of Columbia,1997,31812.52,2705.24,1080.23,0.1190
11,District of Columbia,1998,34577.86,2982.64,1155.67,0.1197
11,District of Columbia,1999,36247.38,3084.52,1170.36,0.1174
11,District of Columbia,2000,40185.49,3313.50,1260.80,0.1138
11,District of Columbia,2001,42796.43,3368.06,1346.35,0.1102
11,District of Columbia,2002,41397.46,3309.30,1326.77,0.1120
11,District of Columbia,2003,42473.85,3286.97,1417.86,0.1108
11,District of Columbia,2004,46836.18,3837.67,1547.16,0.1150
11,District of Columbia,2005,52408.10,4290.56,1903.08,0.1182
11,District of Columbia,2006,57429.61,4388.88,2182.46,0.1144
11,District of Columbia,2007,62137.25,4727.62,2277.25,0.1127
11,District of Columbia,2008,64734.55,5001.86,2376.82,0.1140
11,District of Columbia,2009,62670.28,3818.24,2193.80,0.0959
11,District of Columbia,2010,62178.26,3892.61,2110.84,0.0966
11,District of Columbia,2011,65929.98,4521.35,2253.65,0.1028
11,District of Columbia,2012,70836.83,5230.92,2309.81,0.1065
12,Florida,1977,7206.69,401.20,269.53,0.0931
12,Florida,1978,8036.50,435.42,292.13,0.0905
12,Florida,1979,9029.55,473.60,308.22,0.0866
12,Florida,1980,10023.02,492.67,333.17,0.0824
12,Florida,1981,11419.48,529.80,370.96,0.0789
12,Florida,1982,12195.28,576.84,395.98,0.0798
12,Florida,1983,12761.86,634.08,405.09,0.0814
12,Florida,1984,13942.03,709.97,448.62,0.0831
12,Florida,1985,15134.94,791.24,480.67,0.0840
12,Florida,1986,16327.85,862.48,512.98,0.0842
12,Florida,1987,17282.14,925.93,542.53,0.0850
12,Florida,1988,18380.58,1041.80,569.11,0.0876
12,Florida,1989,19796.11,1115.26,603.61,0.0868
12,Florida,1990,20565.57,1192.78,624.83,0.0884
12,Florida,1991,20741.55,1256.64,626.69,0.0908
12,Florida,1992,21099.73,1316.49,647.02,0.0931
12,Florida,1993,22017.86,1410.17,677.35,0.0948
12,Florida,1994,22740.80,1507.75,689.65,0.0966
12,Florida,1995,23830.43,1575.79,706.15,0.0958
12,Florida,1996,25315.13,1643.67,711.68,0.0930
12,Florida,1997,26890.26,1714.57,746.18,0.0915
12,Florida,1998,28895.23,1786.58,783.72,0.0890
12,Florida,1999,30677.16,1856.62,801.02,0.0866
12,Florida,2000,32266.83,1907.79,825.20,0.0847
12,Florida,2001,32820.62,1906.75,849.96,0.0840
12,Florida,2002,32035.20,1966.25,854.16,0.0880
12,Florida,2003,32565.22,2057.24,899.04,0.0908
12,Florida,2004,35327.48,2189.27,965.33,0.0893
12,Florida,2005,39583.95,2241.26,1203.06,0.0870
12,Florida,2006,42977.40,2389.52,1349.81,0.0870
12,Florida,2007,44642.82,2736.28,1345.33,0.0914
12,Florida,2008,43385.88,2774.23,1341.18,0.0949
12,Florida,2009,38956.79,2638.18,1176.11,0.0979
12,Florida,2010,37800.86,2561.29,1138.06,0.0979
12,Florida,2011,39922.46,2441.12,1240.55,0.0922
12,Florida,2012,41848.49,2498.79,1239.64,0.0893
13,Georgia,1977,6306.13,411.38,196.68,0.0964
13,Georgia,1978,6985.20,450.11,214.18,0.0951
13,Georgia,1979,7753.56,498.49,224.34,0.0932
13,Georgia,1980,8402.64,543.27,239.96,0.0932
13,Georgia,1981,9332.33,594.95,265.78,0.0922
